date,Voltage,Charge_Capacity,Current
06/21/2018 20:21:37.000,3.576401711,0,0
06/21/2018 20:23:37.000,3.575814247,0,0
06/21/2018 20:25:37.000,3.575202942,0,0
06/21/2018 20:27:37.000,3.574509621,0,0
06/21/2018 20:29:37.000,3.573856354,0,0
06/21/2018 20:31:37.000,3.573313713,0,0
06/21/2018 20:33:37.000,3.572934151,0,0
06/21/2018 20:35:37.000,3.572692871,0,0
06/21/2018 20:37:37.000,3.572960854,0,0
06/21/2018 20:39:37.000,3.573086739,0,0
06/21/2018 20:41:37.000,3.57324028,0,0
06/21/2018 20:43:37.000,3.573255539,0,0
06/21/2018 20:45:37.000,3.573324203,0,0
06/21/2018 20:47:37.000,3.573371887,0,0
06/21/2018 20:49:37.000,3.573371887,0,0
06/21/2018 20:51:37.000,3.573461533,0,0
06/21/2018 20:53:37.000,3.573532104,0,0
06/21/2018 20:55:37.000,3.573531151,0,0
06/21/2018 20:57:37.000,3.573595047,0,0
06/21/2018 20:59:37.000,3.573651314,0,0
06/21/2018 21:01:37.000,3.573672295,0,0
06/21/2018 21:03:37.000,3.573803902,0,0
06/21/2018 21:05:37.000,3.573799133,0,0
06/21/2018 21:07:37.000,3.573843002,0,0
06/21/2018 21:09:37.000,3.573838234,0,0
06/21/2018 21:11:37.000,3.573967934,0,0
06/21/2018 21:13:37.000,3.574004173,0,0
06/21/2018 21:15:37.000,3.574057579,0,0
06/21/2018 21:17:37.000,3.574101448,0,0
06/21/2018 21:19:37.000,3.574062347,0,0
06/21/2018 21:21:37.000,3.574158669,0,0
06/21/2018 21:23:37.000,3.574180603,0,0
06/21/2018 21:25:37.000,3.57419014,0,0
06/21/2018 21:27:37.000,3.574309349,0,0
06/21/2018 21:29:37.000,3.574275017,0,0
06/21/2018 21:31:37.000,3.574356079,0,0
06/21/2018 21:33:37.000,3.574355125,0,0
06/21/2018 21:35:37.000,3.574383736,0,0
06/21/2018 21:37:37.000,3.574477196,0,0
06/21/2018 21:39:37.000,3.574483871,0,0
06/21/2018 21:41:37.000,3.574542999,0,0
06/21/2018 21:43:37.000,3.574604034,0,0
06/21/2018 21:45:37.000,3.574647903,0,0
06/21/2018 21:47:37.000,3.574762344,0,0
06/21/2018 21:49:37.000,3.574759483,0,0
06/21/2018 21:51:37.000,3.574892044,0,0
06/21/2018 21:53:37.000,3.574923515,0,0
06/21/2018 21:55:37.000,3.574973106,0,0
06/21/2018 21:57:37.000,3.574964523,0,0
06/21/2018 21:59:37.000,3.575056076,0,0
06/21/2018 22:01:37.000,3.57508564,0,0
06/21/2018 22:03:37.000,3.575172424,0,0
06/21/2018 22:05:37.000,3.57515049,0,0
06/21/2018 22:07:37.000,3.57526207,0,0
06/21/2018 22:09:37.000,3.575316429,0,0
06/21/2018 22:11:37.000,3.575325012,0,0
06/21/2018 22:13:37.000,3.575379372,0,0
06/21/2018 22:15:37.000,3.575479507,0,0
06/21/2018 22:17:37.000,3.575564384,0,0
06/21/2018 22:19:37.000,3.575551987,0,0
06/21/2018 22:21:37.000,4.200017929,0.058057077,3.259937286
06/21/2018 22:23:37.000,4.258426666,0.166466847,3.259910583
06/21/2018 22:25:37.000,4.280506134,0.275127351,3.259880066
06/21/2018 22:27:37.000,4.307832718,0.383792371,3.259878159
06/21/2018 22:29:37.000,4.333396912,0.492451549,3.259918213
06/21/2018 22:31:37.000,4.358968735,0.601111829,3.25985527
06/21/2018 22:33:37.000,4.385650635,0.70978415,3.259914398
06/21/2018 22:35:37.000,4.399989128,0.817501247,3.144397736
06/21/2018 22:37:37.000,4.399990082,0.918630302,2.923892975
06/21/2018 22:39:37.000,4.400043488,1.012471199,2.711164474
06/21/2018 22:41:37.000,4.400015831,1.099671602,2.526639938
06/21/2018 22:43:37.000,4.400005341,1.181185961,2.368741989
06/21/2018 22:45:37.000,4.399960518,1.257762074,2.229225159
06/21/2018 22:47:37.000,4.399982452,1.329988122,2.106124878
06/21/2018 22:49:37.000,4.399973869,1.398322105,1.995344162
06/21/2018 22:51:37.000,4.39999485,1.463171363,1.898409843
06/21/2018 22:53:37.000,4.399983406,1.524974346,1.810542107
06/21/2018 22:55:37.000,4.400025368,1.583927631,1.728894234
06/21/2018 22:57:37.000,4.399986267,1.640320897,1.65504837
06/21/2018 22:59:37.000,4.400005341,1.694313526,1.585682869
06/21/2018 23:01:37.000,4.399964333,1.746091127,1.521453857
06/21/2018 23:03:37.000,4.399972916,1.795783162,1.459938049
06/21/2018 23:05:37.000,4.400054932,1.843485117,1.402888298
06/21/2018 23:07:37.000,4.39999485,1.889330149,1.348646164
06/21/2018 23:09:37.000,4.39999485,1.933409452,1.296525955
06/21/2018 23:11:37.000,4.399970055,1.975791454,1.247433662
06/21/2018 23:13:37.000,4.399980545,2.016571045,1.199807167
06/21/2018 23:15:37.000,4.399920464,2.055797815,1.154067039
